Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,has_complete_indices,affordability_tier,value_score
44,Germany,65.58,27.62,47.78,52.31,60.91,103.08,True,Expensive,1.572
45,Ghana,36.2,19.31,28.28,37.53,30.06,16.82,True,Mid-range,0.465
46,Greece,56.22,12.68,35.81,44.73,52.19,39.73,True,Mid-range,0.707
47,Guatemala,43.49,15.6,30.42,41.92,32.59,26.35,True,Mid-range,0.606
48,Guernsey,83.59,54.02,69.73,76.76,89.98,71.57,True,Expensive,0.856
49,Honduras,40.46,10.28,26.31,34.73,28.67,32.09,True,Mid-range,0.793
50,Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74,True,Expensive,0.815
51,Hungary,40.66,11.91,27.18,35.19,32.82,51.98,True,Mid-range,1.278
52,Iceland,94.86,41.93,70.05,90.22,99.42,77.06,True,Premium,0.812
53,India,24.43,5.3,15.47,26.43,17.56,49.72,True,Budget,2.035
54,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07,True,Mid-range,0.588
55,Iran,37.39,17.05,27.85,29.46,25.18,17.98,True,Mid-range,0.481
56,Iraq,34.47,10.63,23.29,30.46,28.31,40.92,True,Budget,1.187
57,Ireland,76.05,42.08,60.13,62.1,80.4,82.27,True,Expensive,1.082
58,Israel,88.05,33.94,62.69,76.72,95.31,75.58,True,Premium,0.858
59,Italy,66.47,20.55,44.95,57.95,70.58,61.74,True,Expensive,0.929
60,Ivory Coast,47.03,17.68,33.27,40.22,31.99,6.92,True,Mid-range,0.147
61,Jamaica,49.67,15.1,33.46,53.41,35.04,30.25,True,Mid-range,0.609
62,Japan,77.03,25.86,53.04,81.31,45.4,87.11,True,Expensive,1.131
63,Jersey,92.02,65.33,79.51,76.88,94.65,79.14,True,Premium,0.86
64,Jordan,49.19,9.23,30.46,40.81,41.16,31.34,True,Mid-range,0.637
65,Kazakhstan,28.68,9.44,19.66,25.35,27.24,32.23,True,Budget,1.124
66,Kenya,33.92,8.73,22.11,31.27,28.82,32.18,True,Budget,0.949
67,Kosovo (Disputed Territory),27.05,8.04,18.14,24.84,19.53,43.86,True,Budget,1.621
68,Kuwait,48.68,31.31,40.54,35.63,47.48,78.57,True,Mid-range,1.614
69,Latvia,48.45,11.77,31.26,38.37,42.1,51.65,True,Mid-range,1.066
70,Lebanon,69.62,24.81,48.61,66.83,54.25,35.12,True,Expensive,0.504
71,Libya,48.35,12.89,31.73,54.03,34.1,33.25,True,Mid-range,0.688
72,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74,True,Mid-range,1.287
73,Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84,True,Expensive,1.228
74,Macao,66.81,43.0,55.65,67.9,51.32,69.27,True,Expensive,1.037
75,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3,True,Mid-range,1.494
76,Maldives,57.66,30.2,44.78,56.6,34.72,28.59,True,Mid-range,0.496
77,Malta,67.84,29.72,49.97,59.59,72.42,44.18,True,Expensive,0.651
78,Mauritius,44.08,10.95,28.55,45.61,33.44,29.62,True,Mid-range,0.672
79,Mexico,35.35,12.55,24.66,34.82,32.67,38.62,True,Mid-range,1.093
80,Moldova,30.35,8.7,20.2,24.96,27.1,33.43,True,Budget,1.101
81,Mongolia,34.74,11.22,23.72,36.14,22.8,24.34,True,Budget,0.701
82,Montenegro,38.95,12.87,26.72,31.76,33.22,34.19,True,Mid-range,0.878
83,Morocco,33.83,8.98,22.18,30.63,24.52,34.36,True,Budget,1.016
84,Myanmar,35.67,21.18,28.87,37.63,20.0,13.84,True,Mid-range,0.388
85,Nepal,28.29,3.96,16.89,26.45,20.41,22.96,True,Budget,0.812
86,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99,True,Expensive,1.163
87,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63,True,Expensive,1.122
88,Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63,True,Mid-range,0.445
89,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34,True,Budget,0.306
90,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44,True,Budget,1.129
91,Norway,100.9,34.68,69.86,97.31,105.49,83.11,True,Premium,0.824
92,Oman,49.42,16.77,34.11,46.51,43.24,84.24,True,Mid-range,1.705
93,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63,True,Budget,1.337
94,Palestine,58.11,11.01,36.03,51.23,44.58,39.84,True,Mid-range,0.686
95,Panama,51.43,21.75,37.51,52.16,43.38,33.09,True,Mid-range,0.643
96,Paraguay,30.2,10.04,20.75,25.45,24.19,26.08,True,Budget,0.864
97,Peru,32.53,11.22,22.54,30.71,21.53,28.17,True,Budget,0.866
98,Philippines,37.06,9.59,24.18,37.84,20.61,21.47,True,Mid-range,0.579
99,Poland,38.95,14.45,27.46,32.42,33.52,59.95,True,Mid-range,1.539
100,Portugal,47.94,20.73,35.19,39.01,40.26,46.8,True,Mid-range,0.976
101,Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78,True,Expensive,1.094
102,Qatar,62.81,48.2,55.96,54.97,63.01,93.67,True,Expensive,1.491
103,Romania,35.24,10.17,23.49,31.38,30.02,48.12,True,Mid-range,1.365
104,Russia,35.26,13.09,24.87,29.86,34.56,37.41,True,Mid-range,1.061
105,Rwanda,31.62,15.9,24.25,27.71,27.99,26.82,True,Budget,0.848
106,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85,True,Mid-range,1.822
107,Senegal,50.25,22.97,37.46,42.17,46.22,23.45,True,Mid-range,0.467
108,Serbia,36.21,8.73,23.33,28.18,29.24,37.83,True,Mid-range,1.045
109,Seychelles,65.93,32.35,50.19,61.55,77.01,19.43,True,Expensive,0.295
110,Singapore,83.98,66.43,75.75,77.08,61.17,91.34,True,Expensive,1.088
111,Slovakia,44.68,16.11,31.29,39.74,36.08,54.7,True,Mid-range,1.224
112,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48,True,Mid-range,1.104
113,Somalia,34.58,5.16,20.79,39.39,26.65,29.4,True,Budget,0.85
114,South Africa,42.09,16.6,30.14,34.78,41.33,78.36,True,Mid-range,1.862
115,South Korea,73.22,20.02,48.28,91.95,42.1,76.85,True,Expensive,1.05
116,Spain,53.88,21.25,38.58,45.69,53.96,70.04,True,Mid-range,1.3
117,Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27,True,Budget,0.616
118,Suriname,51.78,9.71,32.06,45.92,79.61,13.44,True,Mid-range,0.26
119,Sweden,71.74,25.86,50.23,65.78,72.61,98.14,True,Expensive,1.368
120,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44,True,Premium,0.96
121,Syria,28.75,5.17,17.7,29.34,22.81,6.59,True,Budget,0.229
122,Taiwan,62.35,17.69,41.42,76.19,29.42,58.35,True,Expensive,0.936
123,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97,True,Budget,0.487
124,Thailand,43.21,14.69,29.84,45.15,22.59,31.56,True,Mid-range,0.73
125,Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47,True,Mid-range,0.701
126,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83,True,Budget,0.999
127,Turkey,28.31,6.63,18.15,22.64,18.4,32.88,True,Budget,1.161
128,Uganda,33.5,9.19,22.1,31.0,24.85,11.41,True,Budget,0.341
129,Ukraine,30.71,10.57,21.27,26.3,25.75,37.22,True,Budget,1.212
130,United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17,True,Mid-range,1.58
131,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78,True,Expensive,1.275
132,United States,70.13,42.07,56.98,70.37,70.07,106.34,True,Expensive,1.516
133,Uruguay,52.07,13.93,34.19,44.01,49.39,30.07,True,Mid-range,0.577
134,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37,True,Budget,0.819
135,Venezuela,43.2,9.99,27.63,37.34,46.23,15.41,True,Mid-range,0.357
136,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38,True,Mid-range,0.784
137,Yemen,53.14,6.71,31.38,67.12,24.74,14.41,True,Mid-range,0.271
138,Zambia,33.04,9.26,21.9,31.53,22.46,40.33,True,Budget,1.221
139,Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07,True,Mid-range,0.417
