id,city,country,region,short_description,budget_level,master_travel_score,rank_overall,data_sources,source_count,climate_zone,climate_avg_temp_c,climate_source,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,composite_score,ideal_weekend,ideal_short_trip,ideal_one_week,ideal_long_trip,meteo_avg_temp_c,meteo_annual_precip_mm,meteo_avg_daily_sun_h,meteo_avg_comfort,meteo_best_comfort_month,meteo_wet_months,meteo_cold_months,meteo_hot_months,image_score,image_count,avg_text_quality,avg_colorfulness,avg_brightness,avg_contrast,avg_attractiveness,col_cost_of_living_index,col_rent_index,col_groceries_index,col_restaurant_index,col_purchasing_power_index,col_affordability_tier,col_value_score
29e3c666-7847-4ce2-a1ab-c4036a94b9db,Beijing,China,asia,"A dynamic blend of ancient history and modern innovation, with bustling markets, serene temples, and the aroma of sizzling street food.",Mid-range,7.13,30,climate|visual|cost|wtc_ratings,4,Temperate,13.56,meteostat,5,3,3,1,4,5,3,5,2,3.44,False,True,True,True,13.56,8124.0,6.69,8.09,5.0,84.0,68.0,4.0,52.7,7.0,3.429,54.387,153.07,67.785,4.332,41.77,16.53,46.01,28.37,59.99,Mid-range,1.436
df9d25a4-a439-4fe3-9b2a-1f1caba531b9,Valencia,Spain,europe,"Sun-drenched streets lined with orange trees, vibrant markets, and a seamless blend of ancient history and modern art create a captivating atmosphere.",Mid-range,7.12,31,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.0,meteostat,4,3,4,4,4,5,3,4,3,3.78,True,True,True,False,19.0,6209.0,7.64,9.32,4.0,81.0,1.0,1.0,,,,,,,,53.88,21.25,45.69,53.96,70.04,Mid-range,1.3
273ff2d2-80b8-4886-81e4-1908a11e6f5a,Shanghai,China,asia,"Vibrant streets pulse with energy, blending futuristic skyscrapers with ancient temples, while enticing aromas from street food stalls fill the air.",Mid-range,7.11,32,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,17.97,meteostat,5,3,2,1,5,5,3,5,2,3.44,False,True,True,False,17.97,1945.1,,7.63,5.0,9.0,44.0,25.0,58.5,10.0,4.0,69.406,135.913,57.499,4.532,41.77,16.53,46.01,28.37,59.99,Mid-range,1.436
a9269258-bf5e-4a33-9c09-808b6c94e613,Montego Bay,Jamaica,north_america,"Golden beaches meet turquoise waters, creating a laid-back vibe where reggae rhythms and the scent of jerk spices fill the air.",Mid-range,7.1,33,climate|cost|wtc_ratings,3,Tropical/Hot,27.31,meteostat,3,4,4,5,4,4,3,3,3,3.67,True,True,True,False,27.31,15697.0,8.29,9.86,1.0,83.0,0.0,60.0,,,,,,,,49.67,15.1,53.41,35.04,30.25,Mid-range,0.609
3eb00e2f-97e0-445b-a337-2c2852056104,Chiang Mai,Thailand,asia,"Lush mountain landscapes and vibrant night markets create a serene yet lively atmosphere, inviting exploration and relaxation at every turn.",Budget,7.09,34,climate|cost|wtc_ratings,3,Tropical/Hot,27.09,meteostat,5,4,4,1,3,5,4,3,4,3.67,True,True,True,False,27.09,16584.0,7.16,9.38,1.0,84.0,0.0,57.0,,,,,,,,43.21,14.69,45.15,22.59,31.56,Mid-range,0.73
62d37ff4-2fe7-478b-80f1-e3295093b971,Nadi,Fiji,oceania,"Tropical breezes and vibrant markets greet you, where lush greenery meets sandy beaches, creating a laid-back yet lively atmosphere.",Mid-range,7.09,35,climate|cost|wtc_ratings,3,Tropical/Hot,25.67,meteostat,3,4,5,5,3,3,4,2,4,3.67,True,True,True,False,25.67,30437.0,6.72,9.37,2.0,84.0,0.0,2.0,,,,,,,,43.16,17.76,48.06,37.42,35.87,Mid-range,0.831
38c4cd22-ea4a-4ae1-961b-939933868829,Cartagena,Colombia,south_america,"Winding cobblestone streets, vibrant colonial architecture, and the rhythmic sound of salsa create a lively and colorful coastal atmosphere.",Mid-range,7.09,36,climate|cost|wtc_ratings,3,Tropical/Hot,28.26,meteostat,5,3,3,4,4,4,3,4,2,3.56,True,True,True,False,28.26,15928.5,6.82,9.24,1.0,81.0,0.0,104.0,,,,,,,,26.72,8.18,23.47,19.44,28.85,Budget,1.08
5e5eb018-1df0-459c-85d4-46a45c1dcbe9,Cebu,Philippines,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",Budget,7.08,37,climate|cost|wtc_ratings,3,Tropical/Hot,28.11,meteostat,3,4,5,5,3,4,3,3,3,3.67,False,True,True,False,28.11,25945.0,6.57,8.97,3.0,84.0,0.0,90.0,,,,,,,,37.06,9.59,37.84,20.61,21.47,Mid-range,0.579
f3126fe6-bf7d-442c-951e-4c59aa34c417,Rome,Italy,europe,"Ancient ruins stand proudly amidst bustling piazzas, where the aroma of fresh pasta and the echoes of street musicians fill the air.",Mid-range,7.07,38,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,17.12,meteostat,5,3,3,2,4,5,3,5,2,3.56,False,True,True,False,17.12,1108.0,,7.95,6.0,10.0,20.0,0.0,62.3,1.0,4.0,95.381,86.658,60.377,4.664,66.47,20.55,57.95,70.58,61.74,Expensive,0.929
8836b237-a5c2-49ac-ab48-2b705d4c56f6,Sydney,Australia,oceania,"A lively harbor city where golden beaches meet urban sophistication, offering a blend of vibrant culture and stunning natural beauty.",Luxury,7.04,39,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.11,meteostat,4,4,4,5,4,4,3,5,2,3.89,False,True,True,True,19.11,15576.5,7.23,9.6,1.0,83.0,0.0,0.0,,,,,,,,77.75,36.84,77.44,72.95,104.63,Expensive,1.346
2ad8ee24-69aa-4e79-8b48-b459779c5987,Zanzibar Town,Tanzania,africa,Winding streets filled with the aroma of spices and the sound of Swahili music create an enchanting and vibrant atmosphere.,Mid-range,7.04,40,climate|cost|wtc_ratings,3,Tropical/Hot,27.13,meteostat,4,3,4,5,3,4,3,3,4,3.67,True,True,True,False,27.13,2700.6,8.64,8.52,9.0,12.0,0.0,45.0,,,,,,,,32.81,12.36,30.04,24.86,15.97,Budget,0.487
155b4225-a616-4f5e-ad82-a692458165d1,Singapore,Singapore,asia,"A bustling cityscape where futuristic architecture meets lush green spaces, offering a vibrant blend of cultures and flavors at every corner.",Luxury,7.01,41,climate|visual|cost|wtc_ratings,4,Tropical/Hot,28.45,meteostat,4,3,3,3,4,5,4,5,2,3.67,False,True,True,False,28.45,3818.3,,7.81,1.0,9.0,0.0,53.0,64.2,2.0,4.5,75.31,148.554,58.598,4.728,83.98,66.43,77.08,61.17,91.34,Expensive,1.088
eb5b5644-d743-4bae-861a-99b1f631f095,Mombasa,Kenya,africa,"Lively markets, stunning beaches, and a fusion of cultures create a vibrant atmosphere where you can feel the ocean breeze and hear Swahili melodies.",Mid-range,6.99,42,climate|cost|wtc_ratings,3,Tropical/Hot,26.96,meteostat,4,4,4,5,3,4,3,3,3,3.67,True,True,True,False,26.96,14893.5,8.02,8.4,9.0,82.0,0.0,53.0,,,,,,,,33.92,8.73,31.27,28.82,32.18,Budget,0.949
51be0fb4-70bd-42c9-90d2-1f3d18ac005c,Búzios,Brazil,south_america,Charming cobblestone streets lined with vibrant boutiques and cozy beachside bars create a laid-back vibe perfect for unwinding and soaking up the sun.,Mid-range,6.99,43,climate|cost|wtc_ratings,3,Warm/Mediterranean,23.74,meteostat,3,4,4,5,4,4,3,2,3,3.56,True,True,True,False,23.74,2939.7,,9.25,5.0,17.0,0.0,2.0,,,,,,,,33.24,8.27,28.16,25.24,27.85,Budget,0.838
495888ba-fda1-4ae8-9643-bf29a4d35783,Playa del Carmen,Mexico,north_america,"Sun-drenched beaches, vibrant nightlife, and a laid-back vibe create an inviting atmosphere perfect for both adventure and relaxation.",Mid-range,6.97,44,climate|cost|wtc_ratings,3,Tropical/Hot,26.67,meteostat,3,4,4,5,4,4,4,3,2,3.67,True,True,True,False,26.67,2815.2,,8.4,1.0,17.0,0.0,18.0,,,,,,,,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
4c62d957-8e4e-4558-beea-2bf8178c5463,Catania,Italy,europe,"Sun-soaked streets filled with the aroma of fresh seafood, lively markets, and the dramatic backdrop of a smoking volcano create a unique atmosphere.",Mid-range,6.94,45,climate|visual|cost|wtc_ratings,4,Warm/Mediterranean,17.73,meteostat,4,3,4,3,3,5,3,3,2,3.33,True,True,True,False,17.73,715.5,7.99,8.24,6.0,9.0,12.0,2.0,78.4,2.0,7.0,75.559,144.831,51.823,5.214,66.47,20.55,57.95,70.58,61.74,Expensive,0.929
08f1b340-be30-43d0-a0dd-199157dffb00,Essaouira,Morocco,africa,"Charming coastal breezes mix with the vibrant hum of bustling souks and the scent of fresh seafood, creating a laid-back, inviting atmosphere.",Budget,6.91,46,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.76,meteostat,4,3,4,4,3,4,3,3,4,3.56,True,True,False,False,19.76,693.5,7.69,8.95,1.0,17.0,0.0,0.0,,,,,,,,33.83,8.98,30.63,24.52,34.36,Budget,1.016
f64d6a04-bf5b-49e9-860f-665d6e7d6ada,Krabi,Thailand,asia,"Turquoise waters lap against limestone cliffs, while vibrant markets and serene beaches invite you to unwind and explore at your own pace.",Budget,6.91,47,climate|cost|wtc_ratings,3,Tropical/Hot,28.82,meteostat,3,4,5,5,3,4,4,2,4,3.78,True,True,True,False,28.82,4946.9,,7.77,10.0,10.0,0.0,108.0,,,,,,,,43.21,14.69,45.15,22.59,31.56,Mid-range,0.73
6018cfaa-2009-46c1-9b4e-abc97eecad6b,Marrakesh,Morocco,africa,"A sensory feast of vibrant colors, aromatic spices, bustling souks, and serene gardens, creating an enchanting and immersive experience for every visitor.",Budget,6.91,48,climate|cost|wtc_ratings,3,Warm/Mediterranean,20.9,meteostat,5,3,3,1,4,5,4,4,2,3.44,True,True,True,False,20.9,2586.0,8.96,9.86,3.0,83.0,0.0,25.0,,,,,,,,33.83,8.98,30.63,24.52,34.36,Budget,1.016
4ebafc38-97b9-485a-842f-df2e3fc08ab4,Victoria,Seychelles,africa,"Lush tropical landscapes meet the vibrant colors of bustling markets, offering a sensory feast of exotic flavors and warm ocean breezes.",Luxury,6.89,49,climate|cost|wtc_ratings,3,Tropical/Hot,27.56,meteostat,3,4,5,5,3,4,4,2,4,3.78,False,True,True,False,27.56,33172.0,6.98,9.14,5.0,84.0,0.0,44.0,,,,,,,,65.93,32.35,61.55,77.01,19.43,Expensive,0.295
9f3ce859-f274-4359-a24d-e16bc30c2b1c,Havana,Cuba,north_america,"Colorful streets alive with the rhythm of salsa, vintage cars cruising past, and the scent of cigars create an unforgettable atmosphere.",Budget,6.87,50,climate|visual|cost|wtc_ratings,4,Tropical/Hot,25.46,meteostat,5,3,3,3,4,4,2,3,2,3.22,True,True,True,False,25.46,16912.0,7.78,8.95,1.0,84.0,0.0,10.0,64.3,1.0,3.0,68.802,153.72,70.997,4.733,55.0,15.23,47.93,33.54,1.45,Mid-range,0.026
f206b4f0-81db-4098-8142-a69892f9f14b,Quito,Ecuador,south_america,"Wander through cobblestone streets with vibrant colonial architecture, surrounded by the scent of Andean spices and the hum of lively markets.",Budget,6.87,51,climate|visual|cost|wtc_ratings,4,Temperate,12.3,meteostat,5,4,4,2,3,4,3,3,3,3.44,False,True,True,False,12.3,20932.8,4.86,7.8,8.0,82.0,1.0,0.0,35.2,2.0,3.5,75.465,145.006,46.311,3.734,37.34,11.28,34.49,28.55,31.76,Mid-range,0.851
3f3f5613-56d6-464b-a1de-437c2246292b,Salta,Argentina,south_america,"Stunning mountain landscapes, vibrant local markets, and the warmth of traditional folklore create an inviting and colorful atmosphere.",Mid-range,6.85,52,climate|cost|wtc_ratings,3,Warm/Mediterranean,19.31,meteostat,4,4,5,1,3,4,3,3,4,3.44,True,True,True,False,19.31,9309.5,6.5,9.69,1.0,83.0,0.0,0.0,,,,,,,,34.69,7.71,28.17,33.32,30.72,Budget,0.886
a5d58454-66d9-466a-870f-a490ad04b2fd,Oaxaca,Mexico,north_america,"Colorful markets, aromatic street food, and vibrant festivals create an immersive experience that feels both lively and deeply rooted in tradition.",Mid-range,6.85,53,climate|cost|wtc_ratings,3,Warm/Mediterranean,20.92,meteostat,5,3,4,2,3,5,3,3,3,3.44,True,True,True,False,20.92,11365.1,7.43,9.73,2.0,81.0,0.0,0.0,,,,,,,,35.35,12.55,34.82,32.67,38.62,Mid-range,1.093
5c81761c-2753-4c1c-b724-f0a7f923540d,Buenos Aires,Argentina,south_america,"Lively streets filled with tango rhythms, vibrant markets, and historic architecture create an irresistible blend of culture and energy.",Mid-range,6.83,54,climate|cost|wtc_ratings,3,Warm/Mediterranean,18.64,meteostat,5,3,2,2,5,5,3,5,2,3.56,False,False,True,True,18.64,1244.3,6.31,8.71,1.0,9.0,0.0,0.0,,,,,,,,34.69,7.71,28.17,33.32,30.72,Budget,0.886
