user_id,persona,age,gender,nationality,home_country,income_tier,trips_per_year,avg_trip_days,typical_daily_budget_usd,typical_trip_budget_usd,preferred_accommodation,preferred_companion,transport_preference,avg_booking_advance_days,climate_preference,activity_tags,pref_adventure,pref_culture,pref_beach,pref_nightlife,pref_luxury,pref_family_friendly,pref_nature,pref_food,pref_safety,pref_digital_nomad,pref_instagram_worthy,pref_value_for_money,n_countries_visited,cities_visited_count,cities_visited,wishlist_count,wishlist,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13
U00011,Luxury Traveler,64,Female,Australian,Australia,150k+,7,8,509.0,4072.0,Luxury Hotel,Partner,Road trips,30,Mediterranean/Warm,beaches|food_tours|shopping,0.088,0.556,0.764,0.75,0.898,0.215,0.163,0.676,0.904,0.222,0.592,0.012,1,2,Launceston|Sydney,4,Dakar|Bilbao|Freiburg|Trondheim,0.088,0.556,0.764,0.75,0.898,0.215,0.163,0.676,0.904,0.222,0.592,0.012,1.018,0.13333333333333333
U00012,Adventure Seeker,38,Female,Indian,India,<30k,2,18,59.0,1062.0,Mid-range Hotel,Friends,Any,0,Cold/Snow,cycling|hiking|historical_sites|skiing|wildlife,1.0,0.296,0.62,0.141,0.159,0.062,0.989,0.475,0.162,0.0,0.458,0.866,12,13,Puebla|Ubud|Miami|Nagasaki|Plitvice Lakes|Sarajevo|Victoria|Puglia|Tucson|Hamburg|Buenos Aires|Accra|Madrid,7,Constanta|Austin|Asturias|Richmond|Sharm El Sheikh|Edmonton|Lisbon,1.0,0.296,0.62,0.141,0.159,0.062,0.989,0.475,0.162,0.0,0.458,0.866,0.118,0.3
U00013,Luxury Traveler,53,Female,French,France,30-70k,4,9,951.0,8559.0,Airbnb/VRBO,Mixed group,Trains preferred,0,Mediterranean/Warm,food_tours|museums|nightlife|temples|wine_tasting,0.239,0.5,0.582,0.373,0.875,0.251,0.213,1.0,0.666,0.295,0.354,0.0,10,11,Kotor|Antofagasta|Azores|Monterrey|Dublin|Vilnius|Rennes|Abu Dhabi|Kuching|Richmond|Denver,7,Seychelles|Whistler|Toronto|Zurich|Galle|San Cristobal|Gotland,0.239,0.5,0.582,0.373,0.875,0.251,0.213,1.0,0.666,0.295,0.354,0.0,1.902,0.15
U00014,Family Vacationer,45,Female,American,USA,70-150k,2,15,152.0,2280.0,Mid-range Hotel,Mixed group,Flights only,7,Mediterranean/Warm,architecture|beaches|food_tours|hiking|temples,0.594,0.678,0.584,0.228,0.457,0.921,0.617,0.58,0.504,0.251,0.0,0.433,5,5,Muscat|Krakow|Yangshuo|Naples|Hiroshima,7,Edmonton|Los Angeles|Naypyidaw|Banff|Harbin|New York City|Phnom Penh,0.594,0.678,0.584,0.228,0.457,0.921,0.617,0.58,0.504,0.251,0.0,0.433,0.304,0.25
U00015,Adventure Seeker,41,Male,Dutch,Netherlands,30-70k,3,16,177.0,2832.0,Boutique Hotel,Solo,Flights only,7,Tropical/Hot,beaches|cycling|food_tours|hiking|historical_sites|photography|wildlife,0.88,0.22,0.524,0.134,0.0,0.115,0.762,0.459,0.698,0.017,0.397,0.952,1,1,Kolkata,6,San Antonio|Rochester|Chiang Mai|Turin|Austin|Pokhara,0.88,0.22,0.524,0.134,0.0,0.115,0.762,0.459,0.698,0.017,0.397,0.952,0.354,0.26666666666666666
U00016,Cultural Explorer,39,Male,Canadian,Canada,<30k,3,12,184.0,2208.0,Budget Hotel,Friends,Road trips,90,Any/Flexible,food_tours|historical_sites|live_music|local_markets|photography|temples,0.24,0.843,0.144,0.506,0.32,0.144,0.574,0.879,0.195,0.294,0.48,0.788,5,5,Asturias|Delhi|Cornwall|Siem Reap|Calgary,7,Funchal|Kandy|Algarve|Chengdu|Wadi Rum|Cairo|Sao Paulo,0.24,0.843,0.144,0.506,0.32,0.144,0.574,0.879,0.195,0.294,0.48,0.788,0.368,0.2
U00017,Weekend Tripper,47,Female,Other,Other,70-150k,6,4,285.0,1140.0,Boutique Hotel,Solo,Any,60,Mediterranean/Warm,historical_sites|local_markets|nightlife|temples|volunteering,0.335,0.526,0.465,0.585,0.286,0.164,0.36,0.749,0.746,0.112,0.21,0.61,4,4,Bordeaux|Ottawa|Victoria|Phnom Penh,9,Sucre|Buenos Aires|Sao Paulo|Cappadocia|Jeju Island|Panama City|Raleigh|Florence|Key West,0.335,0.526,0.465,0.585,0.286,0.164,0.36,0.749,0.746,0.112,0.21,0.61,0.57,0.06666666666666667
U00018,Weekend Tripper,36,Male,Other,Other,70-150k,9,4,169.0,676.0,Mid-range Hotel,Friends,Flights only,7,Temperate/Mild,architecture|beaches|food_tours|historical_sites|live_music|museums|temples,0.413,0.46,0.48,0.498,0.216,0.378,0.28,0.828,0.729,0.327,0.479,0.866,11,11,Leipzig|Yaoundé|Tunis|Malaga|Anchorage|Giza|Manaus|Guimarães|San Juan|Venice|Ankara,6,Vilamoura|Dallas|Sao Paulo|Bukhara|Salzburg|Lautoka,0.413,0.46,0.48,0.498,0.216,0.378,0.28,0.828,0.729,0.327,0.479,0.866,0.338,0.06666666666666667
U00019,Adventure Seeker,42,Female,Other,Other,30-70k,4,15,143.0,2145.0,Boutique Hotel,Solo,Road trips,60,Mediterranean/Warm,beaches|food_tours|hiking|local_markets|skiing|water_sports|wildlife,1.0,0.267,0.44,0.152,0.094,0.151,0.97,0.617,0.312,0.117,0.332,1.0,1,1,Kraków,3,Milan|Birmingham|La Palma,1.0,0.267,0.44,0.152,0.094,0.151,0.97,0.617,0.312,0.117,0.332,1.0,0.286,0.25
U00020,Budget Backpacker,23,Female,Chinese,China,30-70k,3,23,42.0,966.0,Mid-range Hotel,Mixed group,Flights only,90,Mediterranean/Warm,beaches|food_tours|hiking|local_markets|museums|photography|wildlife,0.763,0.441,0.46,0.579,0.0,0.364,0.564,0.739,0.674,0.01,0.548,1.0,1,1,Monteverde,8,Lille|Bangkok|Cebu|Tampa|Hiroshima|Naypyidaw|Meknes|Baños,0.763,0.441,0.46,0.579,0.0,0.364,0.564,0.739,0.674,0.01,0.548,1.0,0.084,0.38333333333333336
U00021,Weekend Tripper,45,Female,American,USA,70-150k,4,4,202.0,808.0,Mid-range Hotel,Friends,Any,30,Temperate/Mild,art_galleries|historical_sites|temples|wildlife,0.253,0.684,0.356,0.326,0.593,0.507,0.357,0.966,0.355,0.328,0.337,0.472,2,2,Nantes|Lima,9,Rome|La Palma|Turin|Gotland|Bristol|Búzios|Tbilisi|Bagan|Manama,0.253,0.684,0.356,0.326,0.593,0.507,0.357,0.966,0.355,0.328,0.337,0.472,0.404,0.06666666666666667
U00022,Budget Backpacker,22,Male,American,USA,<30k,2,25,54.0,1350.0,Hostel,Solo,Road trips,7,Mediterranean/Warm,architecture|beaches|food_tours|local_markets,0.607,0.611,0.469,0.38,0.0,0.357,0.522,0.517,0.137,0.208,0.489,1.0,3,3,Halifax|Freiburg|Gothenburg,8,Sofia|St Ives|Braga|Nairobi|Sibiu|Zakynthos|Portland|Havana,0.607,0.611,0.469,0.38,0.0,0.357,0.522,0.517,0.137,0.208,0.489,1.0,0.108,0.4166666666666667
U00023,Family Vacationer,47,Male,French,France,30-70k,1,19,178.0,3382.0,Airbnb/VRBO,Mixed group,Flights only,90,Mediterranean/Warm,architecture|art_galleries|beaches|hiking|historical_sites,0.419,0.57,0.769,0.326,0.183,1.0,0.735,0.676,0.661,0.112,0.575,0.677,1,1,Hamilton Island,3,Port Louis|Fès|Saaremaa Island,0.419,0.57,0.769,0.326,0.183,1.0,0.735,0.676,0.661,0.112,0.575,0.677,0.356,0.31666666666666665
U00024,Cultural Explorer,30,Male,American,USA,30-70k,2,12,160.0,1920.0,Camping/Glamping,Solo,Trains preferred,14,Tropical/Hot,architecture|local_markets|nightlife|wildlife,0.308,1.0,0.072,0.36,0.491,0.094,0.701,0.814,0.552,0.41,0.512,0.435,2,2,Salvador da Bahia|Piran,3,Fès|Miami|Christchurch,0.308,1.0,0.072,0.36,0.491,0.094,0.701,0.814,0.552,0.41,0.512,0.435,0.32,0.2
U00025,Luxury Traveler,60,Male,French,France,150k+,3,10,343.0,3430.0,Boutique Hotel,Partner,Any,14,Mediterranean/Warm,food_tours|historical_sites|local_markets|photography,0.349,0.533,0.473,0.703,0.807,0.352,0.427,0.87,0.763,0.309,0.56,0.352,6,6,Chengdu|Tallinn|New York City|Freiburg|San Carlos de Bariloche|Kigali,3,Bogotá|Las Vegas|Sucre,0.349,0.533,0.473,0.703,0.807,0.352,0.427,0.87,0.763,0.309,0.56,0.352,0.686,0.16666666666666666
U00026,Cultural Explorer,54,Male,Indian,India,150k+,2,9,218.0,1962.0,Luxury Hotel,Mixed group,Trains preferred,180,Temperate/Mild,art_galleries|museums|temples,0.089,1.0,0.125,0.223,0.347,0.36,0.388,0.95,0.821,0.141,0.375,0.54,1,1,Nantes,9,Baltimore|Great Barrier Reef|San Jose|Rijeka|Las Vegas|Lagos|Belfast|Cozumel|Tampa,0.089,1.0,0.125,0.223,0.347,0.36,0.388,0.95,0.821,0.141,0.375,0.54,0.436,0.15
U00027,Adventure Seeker,38,Female,British,UK,30-70k,4,13,69.0,897.0,Budget Hotel,Mixed group,Any,30,Tropical/Hot,food_tours|hiking|museums|temples|water_sports|wildlife,0.879,0.421,0.362,0.488,0.045,0.029,0.987,0.397,0.123,0.377,0.296,0.922,1,1,Bridgetown,6,Murmansk|Goa|St. Louis|Edinburgh|Zermatt|Busan,0.879,0.421,0.362,0.488,0.045,0.029,0.987,0.397,0.123,0.377,0.296,0.922,0.138,0.21666666666666667
U00028,Budget Backpacker,24,Female,Brazilian,Brazil,30-70k,3,23,59.0,1357.0,Budget Hotel,Solo,Any,90,Mediterranean/Warm,museums|photography|wildlife,0.707,0.699,0.557,0.233,0.192,0.083,0.838,0.543,0.809,0.138,0.804,0.828,4,5,Zion National Park|Baños|Ottawa|Matera|Turin,4,Gold Coast|Warsaw|Philadelphia|Saaremaa Island,0.707,0.699,0.557,0.233,0.192,0.083,0.838,0.543,0.809,0.138,0.804,0.828,0.118,0.38333333333333336
U00029,Luxury Traveler,43,Male,German,Germany,150k+,4,5,1097.0,5485.0,Resort,Family,Flights only,180,Any/Flexible,architecture|beaches|museums|nightlife|temples|wine_tasting,0.159,0.593,0.689,0.485,0.873,0.291,0.342,0.746,0.592,0.012,0.075,0.31,0,0,,9,Kotor|Riga|Tunis|Banff|Orlando|Santa Marta|Curitiba|Nagoya|Perth,0.159,0.593,0.689,0.485,0.873,0.291,0.342,0.746,0.592,0.012,0.075,0.31,2.194,0.08333333333333333
U00030,Cultural Explorer,38,Female,American,USA,150k+,2,12,97.0,1164.0,Airbnb/VRBO,Mixed group,Flights only,90,Cold/Snow,art_galleries|food_tours|historical_sites|local_markets,0.188,1.0,0.438,0.149,0.515,0.337,0.498,0.811,0.675,0.286,0.333,0.532,10,11,Lyon|Davao|Yogyakarta|Mumbai|Minneapolis|Mendoza|Hong Kong|London|Key West|Split|Svalbard,6,Curitiba|Birmingham|Nuwara Eliya|Islamabad|Khiva|Mombasa,0.188,1.0,0.438,0.149,0.515,0.337,0.498,0.811,0.675,0.286,0.333,0.532,0.194,0.2
U00031,Luxury Traveler,64,Male,Japanese,Japan,70-150k,5,5,357.0,1785.0,Luxury Hotel,Family,Any,180,Mediterranean/Warm,food_tours|historical_sites|live_music|local_markets|nightlife|wildlife,0.052,0.455,0.812,0.586,0.961,0.369,0.555,0.779,0.747,0.046,0.412,0.02,8,8,Montreal|Lyon|Sharm El Sheikh|Utrecht|Puerto Vallarta|Sedona|Adelaide|Savusavu,8,Cairo|Charleston|Rio de Janeiro|Kandy|Cesky Krumlov|Antwerp|Curitiba|Gold Coast,0.052,0.455,0.812,0.586,0.961,0.369,0.555,0.779,0.747,0.046,0.412,0.02,0.714,0.08333333333333333
U00032,Budget Backpacker,28,Male,Spanish,Spain,30-70k,1,24,36.0,864.0,Mid-range Hotel,Solo,Trains preferred,180,Tropical/Hot,food_tours|hiking|museums|photography,0.923,0.861,0.44,0.408,0.237,0.314,0.561,0.754,0.429,0.0,0.597,0.538,4,4,Warsaw|Kandy|Kota Kinabalu|Anchorage,6,Vancouver|New Orleans|Hallstatt|Lhasa|Rochester|Gdansk,0.923,0.861,0.44,0.408,0.237,0.314,0.561,0.754,0.429,0.0,0.597,0.538,0.072,0.4
U00033,Adventure Seeker,31,Prefer not to say,Japanese,Japan,<30k,2,17,148.0,2516.0,Budget Hotel,Friends,Flights only,30,Cold/Snow,cycling|hiking|local_markets|water_sports,1.0,0.241,0.445,0.424,0.108,0.093,1.0,0.698,0.328,0.091,0.307,0.741,1,1,Manuel Antonio National Park,6,Stone Town|Rotorua|Vienna|Boston|Edmonton|Yangon,1.0,0.241,0.445,0.424,0.108,0.093,1.0,0.698,0.328,0.091,0.307,0.741,0.296,0.2833333333333333
U00034,Digital Nomad,40,Male,Japanese,Japan,30-70k,11,36,108.0,3888.0,Budget Hotel,Solo,Flights only,30,Mediterranean/Warm,architecture|art_galleries|hiking|wildlife,0.653,0.936,0.388,0.269,0.169,0.13,0.466,0.764,0.318,0.685,0.641,0.725,9,9,Milan|Santa Cruz|Salalah|Bruges|Lake Tahoe|Bangkok|Rapa Nui|Ajaccio|Brisbane,4,Phoenix|Cairo|Wellington|San Sebastián,0.653,0.936,0.388,0.269,0.169,0.13,0.466,0.764,0.318,0.685,0.641,0.725,0.216,0.6
U00035,Weekend Tripper,49,Female,Italian,Italy,70-150k,9,3,283.0,849.0,Airbnb/VRBO,Mixed group,Flights only,0,Any/Flexible,beaches|food_tours|live_music|museums|nightlife|temples,0.662,0.731,0.433,0.624,0.176,0.337,0.077,0.888,0.667,0.572,0.565,0.761,7,9,Quebec City|Kyoto|Osaka|Valletta|Belize City|Nantes|Malé|Detroit|Ottawa,10,Kolkata|Zurich|Austin|Cuenca|Skopje|Fès|Suzhou|Monterrey|Oslo|Menorca,0.662,0.731,0.433,0.624,0.176,0.337,0.077,0.888,0.667,0.572,0.565,0.761,0.566,0.05
U00036,Cultural Explorer,32,Female,Other,Other,70-150k,4,9,128.0,1152.0,Luxury Hotel,Family,Any,90,Temperate/Mild,food_tours|local_markets|photography|wildlife,0.165,0.946,0.35,0.51,0.048,0.275,0.504,0.924,0.593,0.262,0.712,1.0,7,7,Hoi An|Sarajevo|Kraków|Milan|Lviv|Santa Cruz|Akureyri,10,Granada|Antofagasta|Antwerp|Tbilisi|Montego Bay|Seattle|Zagreb|Paramaribo|Lucca|Nairobi,0.165,0.946,0.35,0.51,0.048,0.275,0.504,0.924,0.593,0.262,0.712,1.0,0.256,0.15
U00037,Cultural Explorer,51,Female,Chinese,China,70-150k,2,11,102.0,1122.0,Airbnb/VRBO,Partner,Any,60,Cold/Snow,hiking|historical_sites|museums|photography|temples|yoga_wellness,0.343,1.0,0.186,0.197,0.163,0.509,0.551,0.677,0.811,0.0,0.223,0.974,2,2,Hobart|Santa Cruz de la Sierra,9,Johannesburg|Mendoza|Tashkent|Washington|Bandung|Richmond|Sardinia|Cali|Yogyakarta,0.343,1.0,0.186,0.197,0.163,0.509,0.551,0.677,0.811,0.0,0.223,0.974,0.204,0.18333333333333332
U00038,Family Vacationer,36,Male,American,USA,30-70k,1,9,179.0,1611.0,Luxury Hotel,Mixed group,Road trips,60,Mediterranean/Warm,beaches|cycling|historical_sites|temples,0.449,0.551,0.781,0.012,0.379,1.0,0.794,0.655,0.656,0.043,0.12,0.666,10,10,St. Louis|Debrecen|El Chaltén|Brno|Split|Bangkok|Manama|Tunis|Salalah|Davao,8,Thessaloniki|Khiva|York|Hiroshima|Kuala Lumpur|Hualien|Vancouver Island|Hue,0.449,0.551,0.781,0.012,0.379,1.0,0.794,0.655,0.656,0.043,0.12,0.666,0.358,0.15
U00039,Digital Nomad,40,Female,Chinese,China,<30k,11,34,75.0,2550.0,Budget Hotel,Friends,Road trips,0,Tropical/Hot,architecture|art_galleries|food_tours|hiking|museums|temples|yoga_wellness,0.406,0.741,0.417,0.319,0.167,0.097,0.79,0.66,0.233,0.677,0.441,0.689,4,4,Port Louis|Braga|Manila|Murmansk,4,Dhaka|Sighisoara|Yogyakarta|Nagoya,0.406,0.741,0.417,0.319,0.167,0.097,0.79,0.66,0.233,0.677,0.441,0.689,0.15,0.5666666666666667
U00040,Cultural Explorer,44,Prefer not to say,Spanish,Spain,<30k,2,12,152.0,1824.0,Budget Hotel,Family,Trains preferred,7,Mediterranean/Warm,historical_sites|museums|temples|volunteering,0.145,0.967,0.0,0.328,0.168,0.333,0.476,0.922,0.348,0.168,0.624,0.663,11,11,San Cristobal|Bocas del Toro|Colombo|Byron Bay|Harare|Bagan|Niagara Falls|Kathmandu|Baku|Kyoto|Taormina,3,Mombasa|Minsk|Dhaka,0.145,0.967,0.0,0.328,0.168,0.333,0.476,0.922,0.348,0.168,0.624,0.663,0.304,0.2
U00041,Family Vacationer,38,Male,German,Germany,30-70k,1,9,263.0,2367.0,Mid-range Hotel,Friends,Any,7,Any/Flexible,beaches|historical_sites|local_markets|museums|water_sports|wildlife|yoga_wellness,0.407,0.293,0.954,0.059,0.619,1.0,0.541,0.52,0.421,0.447,0.226,0.397,3,3,Sapa|Lapland|Frankfurt,6,Salalah|Asturias|Philadelphia|Dubrovnik|Christchurch|Casablanca,0.407,0.293,0.954,0.059,0.619,1.0,0.541,0.52,0.421,0.447,0.226,0.397,0.526,0.15
U00042,Budget Backpacker,21,Female,Australian,Australia,<30k,1,19,23.0,437.0,Hostel,Friends,Road trips,7,Mediterranean/Warm,hiking|historical_sites|museums|temples|wildlife,0.918,0.572,0.55,0.249,0.18,0.266,0.763,0.794,0.0,0.125,0.626,0.918,10,10,Oaxaca|Toronto|Guilin|Milan|Bucharest|Curitiba|Samarkand|Cappadocia|Rostock|Hualien,9,Harbin|Malaga|Rome|Sofia|Hong Kong|Livingstone|Hoi An|Kyoto|Miami,0.918,0.572,0.55,0.249,0.18,0.266,0.763,0.794,0.0,0.125,0.626,0.918,0.046,0.31666666666666665
U00043,Budget Backpacker,27,Male,British,UK,70-150k,2,15,44.0,660.0,Luxury Hotel,Mixed group,Road trips,7,Tropical/Hot,historical_sites|live_music|local_markets,0.93,0.525,0.622,0.616,0.314,0.068,0.984,0.595,0.551,0.185,0.508,0.989,5,5,Santa Cruz de la Sierra|Khiva|Los Cabos|Constanta|Krakow,9,Thessaloniki|Malé|Biarritz|Cebu|Manama|Durban|Almaty|Lübeck|Bruges,0.93,0.525,0.622,0.616,0.314,0.068,0.984,0.595,0.551,0.185,0.508,0.989,0.088,0.25
U00044,Budget Backpacker,21,Male,American,USA,30-70k,3,19,36.0,684.0,Mid-range Hotel,Friends,Flights only,180,Any/Flexible,architecture|food_tours|live_music|museums|nightlife|temples|wildlife,0.747,0.566,0.36,0.548,0.0,0.297,0.692,0.581,0.629,0.396,0.715,1.0,5,5,Guilin|Nazca|Zagreb|Memphis|Hanoi,10,Colmar|Rabat|Florianópolis|Caracas|Riga|Salento|Bukhara|Ohrid|Ajaccio|Victoria,0.747,0.566,0.36,0.548,0.0,0.297,0.692,0.581,0.629,0.396,0.715,1.0,0.072,0.31666666666666665
U00045,Cultural Explorer,48,Male,Indian,India,30-70k,3,13,152.0,1976.0,Mid-range Hotel,Partner,Road trips,60,Temperate/Mild,art_galleries|historical_sites|live_music|museums,0.066,0.847,0.363,0.551,0.465,0.143,0.568,0.917,0.41,0.3,0.561,0.606,5,5,Monterrey|Gotland|Akureyri|Takayama|Yangon,7,La Paz|Guanajuato|Washington|Macau|New York City|Lahore|Santa Cruz,0.066,0.847,0.363,0.551,0.465,0.143,0.568,0.917,0.41,0.3,0.561,0.606,0.304,0.21666666666666667
U00046,Family Vacationer,31,Female,American,USA,150k+,1,13,250.0,3250.0,Camping/Glamping,Partner,Trains preferred,180,Tropical/Hot,beaches|food_tours|local_markets|museums|photography|water_sports|wildlife,0.674,0.628,0.731,0.094,0.0,0.756,0.833,0.647,0.529,0.0,0.764,0.85,4,4,Yogyakarta|Plovdiv|Tuscany|Chiang Rai,10,Fortaleza|Machu Picchu|York|Marseille|Banff|Mumbai|Bath|Nagoya|Chiang Mai|Krabi,0.674,0.628,0.731,0.094,0.0,0.756,0.833,0.647,0.529,0.0,0.764,0.85,0.5,0.21666666666666667
U00047,Budget Backpacker,25,Non-binary,German,Germany,70-150k,1,29,46.0,1334.0,Luxury Hotel,Mixed group,Flights only,14,Mediterranean/Warm,architecture|food_tours|hiking|historical_sites|museums|photography|wildlife,0.774,0.751,0.314,0.66,0.06,0.113,0.609,0.551,0.765,0.04,0.389,1.0,3,3,Plovdiv|Ottawa|Hong Kong,3,Auckland|Mostar|Curitiba,0.774,0.751,0.314,0.66,0.06,0.113,0.609,0.551,0.765,0.04,0.389,1.0,0.092,0.48333333333333334
U00048,Luxury Traveler,35,Male,Japanese,Japan,150k+,7,11,501.0,5511.0,Resort,Friends,Flights only,0,Mediterranean/Warm,beaches|food_tours|hiking,0.306,0.481,0.782,0.215,1.0,0.483,0.337,1.0,0.643,0.0,0.154,0.127,2,2,Cape Town|Bilbao,7,Pisa|Warsaw|Búzios|Rostock|Oaxaca|Matera|Kaunas,0.306,0.481,0.782,0.215,1.0,0.483,0.337,1.0,0.643,0.0,0.154,0.127,1.002,0.18333333333333332
